epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
29,23028.5,base,1.20147,0.638425,0.969312,0.63748,0.49966,0.55217,0.31936,1.20358,0.6292,0.96997,0.004456,0.004456,0.004456
30,23795.9,super,1.19279,0.622381,0.966883,0.64067,0.52325,0.55806,0.32294,1.20309,0.62075,0.97242,0.004258,0.004258,0.004258
30,23821.7,base,1.2011,0.637761,0.96606,0.64062,0.49748,0.55305,0.32014,1.2068,0.62974,0.96904,0.004258,0.004258,0.004258
31,24589,super,1.1852,0.614987,0.964833,0.64458,0.50207,0.55828,0.32459,1.19741,0.6168,0.97221,0.00406,0.00406,0.00406
31,24614.9,base,1.19404,0.630858,0.964436,0.63655,0.5007,0.55281,0.32098,1.20154,0.62699,0.96865,0.00406,0.00406,0.00406
32,25382.6,super,1.18321,0.61098,0.967537,0.64493,0.51709,0.55589,0.32247,1.20127,0.61894,0.97688,0.003862,0.003862,0.003862
32,25408.4,base,1.19242,0.627136,0.965631,0.63599,0.50601,0.55219,0.31958,1.20552,0.62858,0.97176,0.003862,0.003862,0.003862
33,26175.8,super,1.18028,0.607292,0.968171,0.64402,0.50542,0.56033,0.32495,1.19826,0.61592,0.97677,0.003664,0.003664,0.003664
33,26201.7,base,1.1897,0.624013,0.964657,0.63826,0.50445,0.55324,0.32033,1.2026,0.626,0.9704,0.003664,0.003664,0.003664
34,26969.2,super,1.17779,0.605328,0.968055,0.64572,0.50744,0.5593,0.32426,1.19807,0.61508,0.97761,0.003466,0.003466,0.003466
34,26995,base,1.1873,0.622692,0.964521,0.63502,0.50851,0.55458,0.32155,1.20294,0.62548,0.97147,0.003466,0.003466,0.003466
35,27762.3,super,1.17654,0.602881,0.969399,0.66608,0.51116,0.55918,0.32459,1.20055,0.61551,0.97964,0.003268,0.003268,0.003268
35,27788,base,1.18608,0.619795,0.965843,0.66863,0.51491,0.55645,0.32249,1.20452,0.62507,0.97313,0.003268,0.003268,0.003268
36,28555.9,super,1.17376,0.598919,0.966638,0.66024,0.51814,0.5597,0.32553,1.19738,0.61531,0.97823,0.00307,0.00307,0.00307
36,28581.6,base,1.18355,0.61583,0.962837,0.63807,0.50629,0.55277,0.32205,1.20184,0.62473,0.97169,0.00307,0.00307,0.00307
37,29349.1,super,1.1728,0.595413,0.965216,0.65432,0.51669,0.55859,0.32574,1.19683,0.61447,0.97685,0.002872,0.002872,0.002872
37,29374.9,base,1.18273,0.612835,0.962867,0.64556,0.5001,0.55566,0.32322,1.20055,0.6235,0.97102,0.002872,0.002872,0.002872
38,30142.7,super,1.17063,0.592713,0.962132,0.64922,0.53324,0.56161,0.3283,1.19693,0.6131,0.97448,0.002674,0.002674,0.002674
38,30168.4,base,1.18139,0.610254,0.960356,0.64218,0.50299,0.55542,0.32298,1.20134,0.62215,0.96951,0.002674,0.002674,0.002674
39,30936.4,super,1.1655,0.587318,0.958856,0.65912,0.51201,0.55831,0.32597,1.19672,0.6124,0.97286,0.002476,0.002476,0.002476
39,30962.1,base,1.17559,0.605363,0.957859,0.6429,0.50549,0.55608,0.32352,1.20003,0.62178,0.96839,0.002476,0.002476,0.002476
40,31730.2,super,1.16289,0.583942,0.955933,0.65607,0.51493,0.55936,0.32577,1.19754,0.61274,0.97176,0.002278,0.002278,0.002278
40,31756,base,1.17364,0.602264,0.955828,0.6549,0.52238,0.55672,0.32421,1.20071,0.62202,0.96813,0.002278,0.002278,0.002278
41,32524,super,1.15923,0.579544,0.958804,0.65599,0.51502,0.55796,0.32509,1.1979,0.61248,0.97271,0.00208,0.00208,0.00208
41,32549.7,base,1.17083,0.598971,0.957905,0.66036,0.52138,0.5566,0.32312,1.20156,0.62141,0.96923,0.00208,0.00208,0.00208
42,33317.1,super,1.15754,0.575631,0.955349,0.66003,0.51707,0.55884,0.32566,1.19873,0.61274,0.97299,0.001882,0.001882,0.001882
42,33342.9,base,1.16933,0.595666,0.955179,0.65618,0.51864,0.55543,0.32307,1.20248,0.62159,0.96969,0.001882,0.001882,0.001882
43,34110.2,super,1.15349,0.572121,0.954261,0.66077,0.5173,0.55888,0.32571,1.1994,0.61328,0.97255,0.001684,0.001684,0.001684
43,34135.9,base,1.16629,0.592075,0.955003,0.65697,0.51899,0.5568,0.32376,1.20271,0.62192,0.96944,0.001684,0.001684,0.001684
44,34903.2,super,1.15032,0.568093,0.947058,0.67191,0.51314,0.55864,0.3257,1.19942,0.61385,0.97005,0.001486,0.001486,0.001486
44,34928.9,base,1.16323,0.587819,0.948913,0.63759,0.53044,0.55731,0.32443,1.20201,0.62187,0.9671,0.001486,0.001486,0.001486
45,35696.9,super,1.14653,0.564422,0.946886,0.66437,0.5151,0.55834,0.32536,1.19944,0.61411,0.96929,0.001288,0.001288,0.001288
45,35722.7,base,1.15958,0.584832,0.9487,0.65988,0.5172,0.55771,0.32434,1.20201,0.62202,0.96659,0.001288,0.001288,0.001288
46,36490.2,super,1.14382,0.559784,0.94987,0.66,0.5155,0.5578,0.32485,1.19944,0.61408,0.97024,0.00109,0.00109,0.00109
46,36516,base,1.1582,0.581232,0.951103,0.6623,0.51605,0.5572,0.32401,1.20192,0.62174,0.96749,0.00109,0.00109,0.00109
47,37284.1,super,1.14194,0.557126,0.947468,0.66224,0.51507,0.55895,0.32552,1.20002,0.61444,0.97138,0.000892,0.000892,0.000892
47,37309.8,base,1.15728,0.578982,0.949292,0.66216,0.51609,0.55627,0.3236,1.20233,0.6224,0.96837,0.000892,0.000892,0.000892
48,38077.4,super,1.13558,0.552921,0.947301,0.6643,0.51254,0.55858,0.32514,1.20169,0.61538,0.97237,0.000694,0.000694,0.000694
48,38103.1,base,1.15168,0.574948,0.949162,0.66229,0.51569,0.55611,0.32303,1.20364,0.62296,0.96925,0.000694,0.000694,0.000694
49,38870.9,super,1.13241,0.549518,0.946246,0.66765,0.51072,0.55819,0.32443,1.20327,0.61642,0.97321,0.000496,0.000496,0.000496
49,38896.6,base,1.15011,0.572746,0.948562,0.66206,0.51482,0.55616,0.32288,1.20493,0.62348,0.96993,0.000496,0.000496,0.000496
50,39664.6,super,1.12986,0.546068,0.945185,0.6696,0.5093,0.55664,0.32312,1.20461,0.61709,0.97399,0.000298,0.000298,0.000298
50,39690.3,base,1.14762,0.568974,0.947817,0.66358,0.51419,0.55635,0.32252,1.20568,0.62382,0.97061,0.000298,0.000298,0.000298
