=== [1/2] Train: feat=both, prev_p in {0.0, 1.0}, seeds 0-4 ===
  training prev_p=0.0 seed=0 -> method02_advantage_regress_tinyConv/outputs/bdd100k/policy_both_prevpp00_s0.pt
ep  78 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0003 corr 0.000
ep  79 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0002 corr 0.000
ep  80 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0001 corr 0.000
ep  81 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0002 corr 0.000
ep  82 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0000 corr 0.000
ep  83 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0002 corr 0.000
ep  84 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0002 corr 0.000
ep  85 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0000 corr 0.000
ep  86 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0001 corr 0.000
ep  87 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0001 corr 0.000
ep  88 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0003 corr 0.000
ep  89 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0000 corr 0.000
ep  90 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0004 corr 0.000
ep  91 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0001 corr 0.000
ep  92 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0001 corr 0.000
ep  93 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0003 corr 0.000
ep  94 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0000 corr 0.000
ep  95 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr 0.000
ep  96 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0002 corr 0.000
ep  97 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0001 corr 0.000
ep  98 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0000 corr 0.000
ep  99 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0000 corr 0.000
ep 100 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0000 corr 0.000
ep 101 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr 0.000
ep 102 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0000 corr 0.000
ep 103 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0001 corr 0.000
ep 104 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0001 corr 0.000
ep 105 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0002 corr 0.000
ep 106 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0000 corr 0.000
ep 107 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0001 corr 0.000
ep 108 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0002 corr 0.000
ep 109 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0002 corr 0.000
ep 110 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0002 corr 0.000
ep 111 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0002 corr 0.000
ep 112 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0001 corr -0.000
ep 113 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0001 corr 0.000
