epoch,time,config,train/box,train/cls,train/dfl,train/weather,train/scene,train/timeofday,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/acc_weather,metrics/acc_scene,metrics/acc_timeofday,val/box,val/cls,val/dfl,val/weather,val/scene,val/timeofday,lr/pg0,lr/pg1,lr/pg2
6,4758.68,super,1.27555,0.722903,1.00579,0.58333,0.58546,0.25409,0.71103,0.44681,0.49655,0.2797,0.81771,0.7921,0.91189,1.26829,0.70426,0.99748,0.53969,0.55659,0.27432,0.00901,0.00901,0.00901
6,4784.55,base,1.28492,0.74059,1.00019,0.599798,0.597333,0.259083,0.70296,0.44341,0.48851,0.27453,0.81816,0.78727,0.91179,1.2783,0.71717,0.99148,0.5411,0.56576,0.27827,0.00901,0.00901,0.00901
7,5551.46,super,1.26987,0.711761,1.0031,0.512979,0.552305,0.228147,0.70535,0.45362,0.49912,0.2843,0.84474,0.79562,0.91912,1.24825,0.6936,0.99346,0.47988,0.54038,0.22057,0.008812,0.008812,0.008812
7,5577.2,base,1.27849,0.728134,0.999345,0.526035,0.559102,0.237386,0.71525,0.44333,0.49651,0.28051,0.83772,0.7929,0.9155,1.25454,0.70744,0.98805,0.49481,0.54491,0.23001,0.008812,0.008812,0.008812
8,6344.75,super,1.26153,0.701919,0.997459,0.479543,0.541991,0.21227,0.71827,0.45647,0.50523,0.28616,0.85299,0.79039,0.92474,1.22505,0.67301,0.98055,0.44472,0.53691,0.21361,0.008614,0.008614,0.008614
8,6370.58,base,1.27022,0.718478,0.995008,0.489698,0.546648,0.218313,0.70973,0.45822,0.50039,0.28313,0.84632,0.78546,0.91962,1.23392,0.68728,0.97814,0.45201,0.54797,0.22428,0.008614,0.008614,0.008614
9,7137.79,super,1.25256,0.695628,0.992488,0.459243,0.534432,0.195795,0.72048,0.46297,0.51134,0.29226,0.85503,0.78546,0.92403,1.2281,0.67186,0.98293,0.43015,0.55911,0.21256,0.008416,0.008416,0.008416
9,7163.54,base,1.26115,0.71118,0.991,0.46659,0.539423,0.199526,0.70735,0.45921,0.50352,0.2874,0.8531,0.78285,0.92313,1.23315,0.68401,0.98012,0.4295,0.56586,0.22051,0.008416,0.008416,0.008416
10,7930.93,super,1.25105,0.69226,0.993843,0.444405,0.530478,0.194345,0.72252,0.46194,0.51134,0.29071,0.84779,0.79572,0.93146,1.2398,0.67664,0.98115,0.4527,0.52986,0.20043,0.008218,0.008218,0.008218
10,7956.66,base,1.25965,0.707723,0.992428,0.451576,0.536038,0.196623,0.71219,0.45994,0.50689,0.28722,0.84462,0.7924,0.92925,1.2503,0.68958,0.98192,0.45881,0.5366,0.20559,0.008218,0.008218,0.008218
11,8723.37,super,1.24614,0.68722,0.993472,0.439804,0.526719,0.191586,0.68988,0.48181,0.52443,0.30227,0.85209,0.7926,0.93156,1.22002,0.66676,0.98697,0.43451,0.53138,0.19844,0.00802,0.00802,0.00802
11,8749.06,base,1.25431,0.702263,0.990334,0.446812,0.532826,0.194268,0.71573,0.45959,0.51696,0.29526,0.85491,0.79501,0.92835,1.22555,0.67856,0.97815,0.43623,0.53036,0.20673,0.00802,0.00802,0.00802
12,9515.84,super,1.2414,0.680538,0.991376,0.433444,0.522395,0.18741,0.72439,0.47044,0.5242,0.29678,0.85921,0.78617,0.93377,1.22657,0.66129,0.98162,0.41496,0.55711,0.19458,0.007822,0.007822,0.007822
12,9541.62,base,1.24983,0.695838,0.988433,0.439677,0.528824,0.188733,0.71055,0.47327,0.52309,0.29474,0.85819,0.78597,0.93256,1.23425,0.6743,0.97895,0.41988,0.55922,0.20001,0.007822,0.007822,0.007822
13,10308.2,super,1.23886,0.676819,0.988785,0.419783,0.516742,0.187369,0.72509,0.47605,0.52446,0.30089,0.86045,0.79391,0.93357,1.21795,0.65858,0.97569,0.41672,0.51951,0.1928,0.007624,0.007624,0.007624
13,10333.9,base,1.24765,0.6917,0.986032,0.426323,0.523352,0.189747,0.7163,0.46914,0.51823,0.29714,0.86136,0.7932,0.93327,1.22573,0.6705,0.97396,0.41787,0.52471,0.19504,0.007624,0.007624,0.007624
14,11100.3,super,1.23521,0.673474,0.988254,0.417243,0.501962,0.181011,0.73333,0.47198,0.52655,0.3014,0.85785,0.79672,0.93076,1.22248,0.65364,0.97788,0.42911,0.51798,0.20461,0.007426,0.007426,0.007426
14,11126,base,1.2433,0.688311,0.984921,0.424572,0.508601,0.183176,0.72871,0.46972,0.52136,0.29663,0.85661,0.79662,0.92995,1.23352,0.66986,0.97702,0.43085,0.51931,0.20649,0.007426,0.007426,0.007426
15,11892.3,super,1.23174,0.669806,0.985823,0.413173,0.510828,0.177698,0.72814,0.48168,0.53266,0.30428,0.86667,0.79883,0.93557,1.20733,0.6467,0.98117,0.40688,0.51214,0.19073,0.007228,0.007228,0.007228
15,11917.9,base,1.24056,0.685063,0.983454,0.419697,0.517056,0.180082,0.71859,0.47943,0.52573,0.30045,0.86588,0.79642,0.93497,1.21393,0.65873,0.9733,0.41206,0.51538,0.19371,0.007228,0.007228,0.007228
16,12684.1,super,1.22705,0.663419,0.982265,0.406879,0.506636,0.181654,0.72481,0.48831,0.53823,0.31021,0.86068,0.79692,0.93738,1.2078,0.64283,0.97576,0.41568,0.51138,0.18992,0.00703,0.00703,0.00703
16,12709.8,base,1.23489,0.677535,0.979204,0.41447,0.513317,0.18382,0.72653,0.47855,0.54111,0.30802,0.8626,0.79843,0.93628,1.21517,0.65447,0.97189,0.41659,0.51461,0.18951,0.00703,0.00703,0.00703
17,13475.8,super,1.22518,0.661197,0.978482,0.406405,0.50035,0.181704,0.73608,0.48252,0.53644,0.30768,0.86249,0.79672,0.93748,1.20611,0.63999,0.97572,0.408,0.51771,0.1885,0.006832,0.006832,0.006832
17,13501.5,base,1.2328,0.675193,0.976169,0.413928,0.507732,0.183706,0.7403,0.47529,0.53647,0.30575,0.86181,0.79572,0.93758,1.21114,0.65158,0.97078,0.41,0.51781,0.18966,0.006832,0.006832,0.006832
18,14267.3,super,1.22011,0.656542,0.978442,0.400812,0.497866,0.176994,0.74279,0.47886,0.53708,0.31073,0.86317,0.79793,0.93507,1.19954,0.63872,0.97474,0.40439,0.51304,0.19237,0.006634,0.006634,0.006634
18,14293,base,1.22782,0.670586,0.976957,0.407638,0.50552,0.179387,0.62839,0.4784,0.53231,0.3072,0.86204,0.79712,0.93457,1.20656,0.65014,0.97043,0.40682,0.5138,0.19538,0.006634,0.006634,0.006634
19,15058.6,super,1.21602,0.653287,0.979327,0.398694,0.496252,0.176052,0.66484,0.50017,0.54455,0.31461,0.85842,0.79723,0.93658,1.19964,0.63492,0.96602,0.41311,0.5125,0.18969,0.006436,0.006436,0.006436
19,15084.3,base,1.22382,0.667915,0.976613,0.406267,0.503584,0.178406,0.63557,0.47844,0.5364,0.3091,0.85887,0.79733,0.93527,1.20567,0.6457,0.96246,0.41473,0.51416,0.19272,0.006436,0.006436,0.006436
20,15849.2,super,1.21736,0.652001,0.970001,0.385574,0.494331,0.169954,0.73957,0.48293,0.53921,0.31198,0.86407,0.79632,0.93688,1.20629,0.63607,0.96991,0.4099,0.52157,0.18608,0.006238,0.006238,0.006238
20,15874.8,base,1.22486,0.665867,0.970204,0.393349,0.503077,0.172773,0.74204,0.48035,0.53483,0.30824,0.86385,0.7927,0.93598,1.21113,0.64726,0.96641,0.41237,0.52552,0.18949,0.006238,0.006238,0.006238
21,16640.8,super,1.20854,0.64486,0.973964,0.388804,0.484661,0.172036,0.74243,0.49045,0.54611,0.31592,0.86238,0.79883,0.93738,1.20276,0.63318,0.96959,0.40182,0.5114,0.18792,0.00604,0.00604,0.00604
21,16666.4,base,1.21686,0.658591,0.97262,0.397121,0.492735,0.175655,0.73588,0.48805,0.53955,0.31225,0.86215,0.79863,0.93618,1.20865,0.64345,0.9673,0.40263,0.51121,0.18986,0.00604,0.00604,0.00604
22,17431.7,super,1.20908,0.643464,0.978237,0.383082,0.485732,0.174322,0.7025,0.51201,0.55226,0.32,0.86419,0.79944,0.93668,1.20229,0.63194,0.97657,0.40243,0.50994,0.19253,0.005842,0.005842,0.005842
22,17457.4,base,1.2174,0.65734,0.97624,0.391053,0.494721,0.177166,0.61256,0.50728,0.54389,0.31487,0.86113,0.79803,0.93467,1.2084,0.64203,0.97139,0.40862,0.50872,0.19739,0.005842,0.005842,0.005842
23,18223.6,super,1.21004,0.64377,0.977827,0.385121,0.47756,0.170095,0.73993,0.49758,0.54977,0.31774,0.86079,0.79562,0.93598,1.20369,0.63258,0.97515,0.4084,0.52239,0.19356,0.005644,0.005644,0.005644
23,18249.1,base,1.2179,0.657004,0.973511,0.394436,0.487723,0.172955,0.73818,0.49147,0.54242,0.31312,0.86159,0.79652,0.93588,1.2094,0.6433,0.97069,0.41081,0.51797,0.19646,0.005644,0.005644,0.005644
24,19015,super,1.2057,0.639855,0.97713,0.377093,0.483236,0.173046,0.74376,0.49323,0.55376,0.32002,0.86079,0.79994,0.93688,1.20155,0.62895,0.97758,0.40868,0.50693,0.19179,0.005446,0.005446,0.005446
24,19040.6,base,1.21406,0.654565,0.973738,0.387732,0.492403,0.176475,0.74224,0.49007,0.54632,0.31576,0.85944,0.80044,0.93547,1.20669,0.63997,0.97105,0.41464,0.50489,0.19232,0.005446,0.005446,0.005446
25,19806.4,super,1.20143,0.634702,0.974667,0.374406,0.475525,0.17015,0.7475,0.49062,0.54944,0.31774,0.85966,0.80014,0.93608,1.19664,0.62574,0.97304,0.40958,0.50706,0.19081,0.005248,0.005248,0.005248
25,19832,base,1.20953,0.649265,0.971418,0.38465,0.485431,0.173877,0.73818,0.49203,0.54512,0.31441,0.8617,0.79994,0.93447,1.20082,0.63693,0.96855,0.40716,0.50574,0.19249,0.005248,0.005248,0.005248
26,20597.7,super,1.19884,0.631562,0.971065,0.368321,0.470747,0.172894,0.73974,0.5016,0.55241,0.31974,0.85876,0.79873,0.93688,1.19817,0.62326,0.97056,0.41032,0.50464,0.18978,0.00505,0.00505,0.00505
26,20623.2,base,1.20729,0.646745,0.969817,0.379608,0.482547,0.176448,0.7373,0.49842,0.5472,0.31513,0.85865,0.79944,0.93547,1.20302,0.63405,0.96723,0.41082,0.50432,0.19435,0.00505,0.00505,0.00505
27,21389.2,super,1.1945,0.627316,0.968137,0.365048,0.47393,0.164454,0.73856,0.50507,0.55725,0.32445,0.86192,0.79682,0.93668,1.19153,0.61988,0.96696,0.4001,0.50754,0.18466,0.004852,0.004852,0.004852
27,21414.9,base,1.20289,0.642154,0.966642,0.377208,0.486253,0.169033,0.63544,0.5015,0.55238,0.32036,0.86351,0.79964,0.93718,1.19619,0.63075,0.96302,0.40157,0.50456,0.18835,0.004852,0.004852,0.004852
28,22180.8,super,1.19388,0.625884,0.968517,0.364022,0.467724,0.1642,0.62376,0.51903,0.5579,0.32342,0.86238,0.79903,0.93728,1.19365,0.62096,0.96851,0.407,0.50673,0.18745,0.004654,0.004654,0.004654
28,22206.3,base,1.20227,0.640819,0.966876,0.375658,0.479685,0.167631,0.63231,0.52176,0.55338,0.32095,0.86385,0.80135,0.93698,1.19871,0.63123,0.96463,0.40506,0.504,0.19066,0.004654,0.004654,0.004654
29,22972.7,super,1.19215,0.623311,0.971473,0.356965,0.46208,0.163372,0.65019,0.49974,0.55546,0.32256,0.86249,0.79783,0.93728,1.18758,0.61542,0.96939,0.40514,0.50621,0.18696,0.004456,0.004456,0.004456
29,22998.3,base,1.20135,0.638259,0.968897,0.36918,0.474022,0.167456,0.64321,0.50208,0.55201,0.32061,0.86464,0.80054,0.93728,1.19346,0.62581,0.96439,0.40224,0.50312,0.1898,0.004456,0.004456,0.004456
30,23763.8,super,1.19121,0.621217,0.968042,0.353873,0.463166,0.165681,0.7445,0.50462,0.5584,0.3245,0.86068,0.80024,0.93738,1.19106,0.61552,0.96831,0.40573,0.50693,0.18658,0.004258,0.004258,0.004258
30,23789.4,base,1.19971,0.63624,0.966693,0.368618,0.477758,0.170374,0.73409,0.50512,0.55427,0.3211,0.8617,0.80175,0.93648,1.19684,0.626,0.9648,0.40349,0.5036,0.18943,0.004258,0.004258,0.004258
31,24555.1,super,1.18604,0.615498,0.965925,0.35157,0.46216,0.15916,0.64331,0.50892,0.55861,0.3247,0.86057,0.79903,0.93758,1.18925,0.6144,0.97043,0.40804,0.50819,0.18765,0.00406,0.00406,0.00406
31,24580.7,base,1.19496,0.631188,0.964582,0.367058,0.475831,0.164757,0.74471,0.50402,0.55423,0.32182,0.86113,0.80195,0.93648,1.19474,0.62417,0.96524,0.40476,0.5038,0.18974,0.00406,0.00406,0.00406
32,25345.8,super,1.18219,0.611076,0.965207,0.343722,0.454216,0.163274,0.73997,0.50826,0.55953,0.3255,0.86283,0.80084,0.93778,1.19298,0.6151,0.96992,0.4042,0.50656,0.18808,0.003862,0.003862,0.003862
32,25371.4,base,1.19142,0.626842,0.963555,0.358485,0.468812,0.168591,0.74347,0.50434,0.55619,0.32245,0.86362,0.80235,0.93738,1.19807,0.62495,0.96465,0.4024,0.50109,0.18948,0.003862,0.003862,0.003862
33,26137.2,super,1.17974,0.606906,0.963431,0.340334,0.455993,0.158587,0.74588,0.50589,0.56207,0.32569,0.85966,0.80205,0.93808,1.192,0.61363,0.96867,0.40839,0.50538,0.19046,0.003664,0.003664,0.003664
33,26162.7,base,1.18914,0.623378,0.961918,0.357444,0.473532,0.16433,0.74035,0.50746,0.55754,0.3225,0.86079,0.80275,0.93608,1.19727,0.62401,0.96443,0.40505,0.50113,0.19219,0.003664,0.003664,0.003664
34,26928.1,super,1.17752,0.604906,0.962729,0.333067,0.444218,0.155443,0.74731,0.50728,0.56011,0.32488,0.86192,0.79883,0.93798,1.19301,0.61382,0.97052,0.40635,0.50983,0.18863,0.003466,0.003466,0.003466
34,26953.6,base,1.18674,0.621092,0.961743,0.34957,0.463062,0.161575,0.64602,0.50512,0.55587,0.32213,0.86543,0.80105,0.93818,1.19578,0.623,0.96429,0.40214,0.5037,0.18998,0.003466,0.003466,0.003466
35,27719.1,super,1.17482,0.601093,0.964673,0.336272,0.445004,0.154269,0.75019,0.50867,0.55849,0.32426,0.86238,0.79763,0.93748,1.19579,0.61385,0.97369,0.41222,0.51162,0.18971,0.003268,0.003268,0.003268
35,27744.7,base,1.1847,0.617881,0.962124,0.356305,0.463845,0.160511,0.64754,0.50168,0.55372,0.32159,0.86102,0.80235,0.93788,1.19916,0.62316,0.96643,0.40636,0.50508,0.19145,0.003268,0.003268,0.003268
36,28510,super,1.1728,0.597056,0.962148,0.323306,0.438186,0.152816,0.74324,0.51143,0.55889,0.32401,0.86147,0.79612,0.93848,1.19365,0.61348,0.97185,0.41358,0.5112,0.18987,0.00307,0.00307,0.00307
36,28535.5,base,1.18269,0.613983,0.959891,0.34305,0.45876,0.159969,0.74082,0.50517,0.55382,0.3218,0.86226,0.80074,0.93798,1.19671,0.62225,0.96496,0.40663,0.50348,0.19059,0.00307,0.00307,0.00307
37,29301.4,super,1.17214,0.594612,0.960954,0.321153,0.435894,0.147855,0.64561,0.51133,0.55923,0.3254,0.86136,0.79733,0.93859,1.19066,0.61242,0.96961,0.41333,0.5116,0.1898,0.002872,0.002872,0.002872
37,29326.9,base,1.18227,0.611993,0.959356,0.34354,0.459382,0.154776,0.64517,0.50692,0.5559,0.3227,0.86204,0.80064,0.93728,1.19435,0.62132,0.96431,0.40585,0.50376,0.19068,0.002872,0.002872,0.002872
38,30092.5,super,1.16932,0.591442,0.96047,0.327521,0.430949,0.149047,0.64246,0.51289,0.56131,0.32633,0.86079,0.79461,0.93728,1.1891,0.61067,0.96902,0.41457,0.51636,0.1934,0.002674,0.002674,0.002674
38,30117.9,base,1.18012,0.60926,0.95886,0.350062,0.455091,0.15662,0.65027,0.50246,0.55684,0.32364,0.85989,0.79984,0.93748,1.19317,0.61972,0.96381,0.40884,0.50648,0.19323,0.002674,0.002674,0.002674
39,30883.9,super,1.16537,0.587799,0.961608,0.317131,0.426241,0.151086,0.64399,0.51411,0.56349,0.32696,0.85921,0.79542,0.93818,1.19038,0.61041,0.97152,0.41769,0.51809,0.19266,0.002476,0.002476,0.002476
39,30909.4,base,1.176,0.606106,0.958531,0.342912,0.451108,0.158711,0.6494,0.5062,0.55786,0.32373,0.86012,0.79934,0.93808,1.19405,0.61983,0.96526,0.41145,0.50772,0.19142,0.002476,0.002476,0.002476
40,31674.7,super,1.16273,0.583837,0.962181,0.306405,0.41996,0.148461,0.65195,0.51042,0.56211,0.32564,0.85898,0.79652,0.93768,1.19245,0.61083,0.97349,0.41891,0.52112,0.19259,0.002278,0.002278,0.002278
40,31700.2,base,1.1736,0.602035,0.957853,0.334282,0.445478,0.156492,0.65702,0.50231,0.55706,0.32334,0.86079,0.80024,0.93859,1.1949,0.61983,0.96563,0.41117,0.508,0.19096,0.002278,0.002278,0.002278
41,32465.8,super,1.15875,0.57925,0.960541,0.299366,0.420108,0.141072,0.64488,0.51461,0.56158,0.32569,0.85842,0.79521,0.93818,1.19341,0.61124,0.97429,0.42107,0.52271,0.19378,0.00208,0.00208,0.00208
41,32491.3,base,1.1709,0.599012,0.957329,0.329512,0.45013,0.149564,0.6477,0.50761,0.55702,0.32264,0.85978,0.80084,0.93798,1.19547,0.61972,0.96588,0.41123,0.50857,0.1916,0.00208,0.00208,0.00208
42,33257.1,super,1.15611,0.57562,0.958434,0.295219,0.415962,0.142858,0.63888,0.51575,0.56002,0.32516,0.85955,0.79421,0.93738,1.19458,0.61172,0.97528,0.42293,0.52507,0.19391,0.001882,0.001882,0.001882
42,33282.6,base,1.16904,0.595655,0.956107,0.327075,0.447332,0.15276,0.64716,0.50618,0.55613,0.32291,0.86,0.80105,0.93778,1.19674,0.62022,0.96665,0.41269,0.50874,0.19156,0.001882,0.001882,0.001882
43,34048,super,1.1526,0.571987,0.959466,0.294857,0.403335,0.141258,0.64347,0.51273,0.55988,0.3254,0.8574,0.79421,0.93698,1.19492,0.6123,0.97637,0.42517,0.52807,0.19549,0.001684,0.001684,0.001684
43,34073.5,base,1.16527,0.592251,0.955221,0.332965,0.437717,0.150712,0.64937,0.50324,0.55669,0.32289,0.8617,0.80044,0.93718,1.19703,0.62027,0.96673,0.41327,0.51002,0.19309,0.001684,0.001684,0.001684
44,34838.8,super,1.14913,0.567449,0.95554,0.282827,0.400601,0.137187,0.64721,0.51092,0.56049,0.32488,0.85808,0.79461,0.93708,1.19479,0.61228,0.9762,0.42734,0.53017,0.19652,0.001486,0.001486,0.001486
44,34864.3,base,1.1625,0.587987,0.951722,0.318308,0.440611,0.149434,0.6487,0.50745,0.55794,0.32287,0.86068,0.80135,0.93738,1.19626,0.61974,0.96587,0.41404,0.51026,0.19363,0.001486,0.001486,0.001486
45,35629.8,super,1.14531,0.562977,0.951332,0.280367,0.393477,0.13465,0.64802,0.51037,0.55987,0.32412,0.85797,0.79521,0.93688,1.19559,0.61242,0.97538,0.42961,0.53339,0.19693,0.001288,0.001288,0.001288
45,35655.4,base,1.15951,0.584495,0.9503,0.320059,0.432994,0.146901,0.65059,0.50453,0.55758,0.32242,0.86057,0.79934,0.93788,1.19671,0.6196,0.96552,0.4147,0.51117,0.19359,0.001288,0.001288,0.001288
46,36420.6,super,1.14274,0.558683,0.95275,0.270703,0.394429,0.136372,0.64157,0.51399,0.55921,0.32395,0.85797,0.7927,0.93638,1.1961,0.61259,0.9753,0.43243,0.53725,0.19767,0.00109,0.00109,0.00109
46,36446.1,base,1.15775,0.580333,0.951868,0.313133,0.438757,0.149519,0.65004,0.50554,0.55787,0.32232,0.86102,0.80034,0.93778,1.19671,0.61956,0.96551,0.41578,0.51257,0.19417,0.00109,0.00109,0.00109
47,37211.8,super,1.14112,0.557282,0.949995,0.264863,0.386206,0.130655,0.64396,0.51053,0.55877,0.32351,0.85616,0.793,0.93618,1.19705,0.61317,0.97587,0.43607,0.54005,0.19871,0.000892,0.000892,0.000892
47,37237.3,base,1.1573,0.579404,0.948941,0.310387,0.434325,0.144698,0.75293,0.50391,0.55737,0.32207,0.86068,0.80054,0.93798,1.19702,0.61975,0.96573,0.41718,0.51337,0.19492,0.000892,0.000892,0.000892
48,38002.7,super,1.13452,0.551891,0.951258,0.256595,0.378523,0.132622,0.64557,0.50693,0.55747,0.32241,0.85684,0.7923,0.93628,1.19821,0.61391,0.97656,0.43861,0.54302,0.19904,0.000694,0.000694,0.000694
48,38028.2,base,1.15122,0.574609,0.950177,0.304375,0.43174,0.147774,0.64832,0.50527,0.55651,0.32133,0.86102,0.80004,0.93859,1.19756,0.62026,0.96637,0.41837,0.51358,0.19483,0.000694,0.000694,0.000694
49,38794,super,1.13183,0.550175,0.950526,0.259541,0.372834,0.13146,0.64352,0.50783,0.55682,0.32177,0.85582,0.7924,0.93618,1.19936,0.61449,0.97732,0.44112,0.54595,0.19954,0.000496,0.000496,0.000496
49,38819.5,base,1.14983,0.573553,0.949936,0.308801,0.428571,0.147248,0.64697,0.50652,0.55693,0.32089,0.85966,0.80014,0.93808,1.19851,0.62059,0.96701,0.41937,0.51416,0.19487,0.000496,0.000496,0.000496
50,39585.2,super,1.12827,0.545669,0.948149,0.24436,0.367244,0.127169,0.64656,0.50608,0.55619,0.32118,0.85525,0.7918,0.93588,1.20048,0.61501,0.97777,0.44301,0.54837,0.19986,0.000298,0.000298,0.000298
50,39610.6,base,1.14681,0.56888,0.947934,0.293186,0.424682,0.142886,0.64485,0.50711,0.55622,0.32059,0.86012,0.79984,0.93798,1.19931,0.62116,0.96735,0.41993,0.51457,0.19481,0.000298,0.000298,0.000298
