epoch,time,config,train/box,train/cls,train/dfl,train/weather,train/scene,train/timeofday,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/acc_weather,metrics/acc_scene,metrics/acc_timeofday,val/box,val/cls,val/dfl,val/weather,val/scene,val/timeofday,lr/pg0,lr/pg1,lr/pg2
18,7912.17,base,1.22884,0.672261,0.979029,0.666112,0.600045,0.274421,0.72441,0.48673,0.53885,0.31234,0.7502,0.76918,0.91219,1.20946,0.6495,0.97045,0.64796,0.59538,0.27214,0.006634,0.006634,0.006634
19,8677.43,super,1.21726,0.655506,0.985421,0.650991,0.581538,0.26917,0.73849,0.48853,0.54795,0.31841,0.76015,0.77792,0.91269,1.20704,0.63817,0.97637,0.622,0.57864,0.26515,0.006436,0.006436,0.006436
19,8703.06,base,1.22546,0.67003,0.981236,0.659476,0.588623,0.271314,0.68022,0.50789,0.5411,0.31411,0.75506,0.77209,0.91229,1.21429,0.64955,0.97134,0.6316,0.58727,0.26772,0.006436,0.006436,0.006436
20,9468.92,super,1.21521,0.652699,0.979887,0.630043,0.57442,0.26047,0.63314,0.49214,0.54166,0.31268,0.77485,0.78104,0.91249,1.21185,0.63566,0.98186,0.60211,0.56535,0.26926,0.006238,0.006238,0.006238
20,9494.6,base,1.22339,0.66676,0.977072,0.637751,0.580482,0.262944,0.63929,0.48656,0.53883,0.30939,0.77112,0.78134,0.91219,1.21893,0.64754,0.97773,0.60985,0.57048,0.26966,0.006238,0.006238,0.006238
21,10260.1,super,1.21075,0.646642,0.975996,0.624535,0.561109,0.263088,0.73023,0.49402,0.54589,0.31586,0.77361,0.78677,0.91259,1.20501,0.63336,0.97094,0.60172,0.55608,0.26392,0.00604,0.00604,0.00604
21,10285.8,base,1.21871,0.660536,0.974486,0.633559,0.566694,0.265347,0.73502,0.48651,0.54639,0.31724,0.77021,0.78395,0.91189,1.21173,0.64383,0.96788,0.61647,0.56128,0.26627,0.00604,0.00604,0.00604
22,11050.7,super,1.20959,0.645696,0.970617,0.610375,0.563265,0.265971,0.73491,0.49622,0.54812,0.31715,0.78118,0.78556,0.9129,1.20016,0.63063,0.96752,0.59724,0.55651,0.26285,0.005842,0.005842,0.005842
22,11076.1,base,1.21717,0.659224,0.969858,0.619414,0.568181,0.268973,0.73424,0.48771,0.54527,0.31534,0.77598,0.78395,0.91279,1.20633,0.64113,0.96395,0.60988,0.56007,0.26466,0.005842,0.005842,0.005842
23,11841.8,super,1.2111,0.643666,0.972403,0.614742,0.552256,0.263176,0.63075,0.49554,0.54729,0.31652,0.78378,0.79129,0.91179,1.2073,0.63038,0.97275,0.58696,0.54724,0.26682,0.005644,0.005644,0.005644
