stem,split,loss_super,box_super,cls_super,dfl_super,loss_base,box_base,cls_base,dfl_base,loss_diff,box_diff,cls_diff,dfl_diff,n_gt,n_pred_01_super,mean_conf_01_super,n_pred_05_super,mean_conf_05_super,n_pred_10_super,mean_conf_10_super,n_pred_25_super,mean_conf_25_super,n_pred_50_super,mean_conf_50_super,n_pred_75_super,mean_conf_75_super,top10_mean_conf_super,top20_mean_conf_super,top30_mean_conf_super,n_pred_all_super,mean_conf_all_super,n_pred_01_base,mean_conf_01_base,n_pred_05_base,mean_conf_05_base,n_pred_10_base,mean_conf_10_base,n_pred_25_base,mean_conf_25_base,n_pred_50_base,mean_conf_50_base,n_pred_75_base,mean_conf_75_base,top10_mean_conf_base,top20_mean_conf_base,top30_mean_conf_base,n_pred_all_base,mean_conf_all_base,tp_super,fp_super,fn_super,precision_super,recall_super,ap5095_super,tp_base,fp_base,fn_base,precision_base,recall_base,ap5095_base
003417,train,2.6311517357826233,0.7502971291542053,0.7678253650665283,1.1130292415618896,2.4717284440994263,0.6684017777442932,0.7570242285728455,1.0463024377822876,-0.15942329168319702,-0.08189535140991211,-0.010801136493682861,-0.06672680377960205,6,14,0.3820871114730835,9,0.5784997940063477,8,0.6443244218826294,7,0.7207539677619934,6,0.7949328422546387,4,0.864169716835022,0.5253344774246216,0.26909139752388,0.18059894442558289,284,0.02052425965666771,14,0.3639720678329468,9,0.5541433691978455,8,0.6128400564193726,7,0.6824607253074646,5,0.8018924593925476,4,0.8486475944519043,0.5017707943916321,0.25699174404144287,0.1726730614900589,294,0.019001388922333717,6,1,0,0.8571428571428571,1.0,0.7300133333218595,6,1,0,0.8571428571428571,1.0,0.7637519853543491
003419,train,3.14079612493515,0.8587804436683655,1.4160666465759277,0.8659490346908569,3.3599647879600525,0.9215688109397888,1.5495326519012451,0.8888633251190186,0.21916866302490234,0.06278836727142334,0.13346600532531738,0.02291429042816162,2,8,0.28679612278938293,5,0.4508766829967499,4,0.545130729675293,4,0.545130729675293,2,0.7787275314331055,1,0.916176974773407,0.2308928519487381,0.11757701635360718,0.07953143864870071,300,0.009484987705945969,17,0.169865220785141,6,0.4430738389492035,5,0.5199053287506104,3,0.7197142839431763,2,0.8494302034378052,1,0.949222981929779,0.2780974805355072,0.145756796002388,0.0991915911436081,300,0.011664395220577717,2,2,0,0.5,1.0,0.797818181887269,2,1,0,0.6666666666666666,1.0,0.746750000002794
003420,train,3.447861135005951,0.779653012752533,1.2972912788391113,1.3709168434143066,2.944515109062195,0.801262617111206,1.351836085319519,0.7914164066314697,-0.5033460259437561,0.021609604358673096,0.054544806480407715,-0.5795004367828369,1,1,0.9082455039024353,1,0.9082455039024353,1,0.9082455039024353,1,0.9082455039024353,1,0.9082455039024353,1,0.9082455039024353,0.09412069618701935,0.048544563353061676,0.033254243433475494,299,0.004670094698667526,2,0.46908116340637207,1,0.928057849407196,1,0.928057849407196,1,0.928057849407196,1,0.928057849407196,1,0.928057849407196,0.10042914003133774,0.052377041429281235,0.035865314304828644,238,0.00579458475112915,1,0,0,1.0,1.0,0.796,1,0,0,1.0,1.0,0.796
003421,train,3.9016999006271362,1.2462502717971802,1.5724053382873535,1.0830442905426025,3.9530104398727417,1.2989546060562134,1.5437065362930298,1.1103492975234985,0.05131053924560547,0.0527043342590332,-0.02869880199432373,0.027305006980895996,1,2,0.46817585825920105,1,0.924760639667511,1,0.924760639667511,1,0.924760639667511,1,0.924760639667511,1,0.924760639667511,0.09686430543661118,0.05006466060876846,0.034362662583589554,281,0.005056891590356827,2,0.4700075685977936,1,0.9297491908073425,1,0.9297491908073425,1,0.9297491908073425,1,0.9297491908073425,1,0.9297491908073425,0.09812384843826294,0.05103699117898941,0.03513111546635628,276,0.005120296496897936,1,0,0,1.0,1.0,0.6965,1,0,0,1.0,1.0,0.6965
003422,train,4.512662053108215,1.4691017866134644,1.7157909870147705,1.3277692794799805,4.152561664581299,1.2029266357421875,1.8332042694091797,1.1164307594299316,-0.3601003885269165,-0.26617515087127686,0.11741328239440918,-0.21133852005004883,5,17,0.19098317623138428,9,0.34180164337158203,7,0.4208667576313019,4,0.6301816701889038,2,0.8165409564971924,2,0.8165409564971924,0.31135857105255127,0.16355548799037933,0.11060238629579544,300,0.012593406252563,25,0.13682082295417786,11,0.2846895456314087,7,0.4081750214099884,3,0.7830994129180908,3,0.7830994129180908,2,0.8864560127258301,0.3078024685382843,0.16815447807312012,0.11519765853881836,300,0.013340776786208153,3,1,2,0.75,0.6,0.40503986353117727,2,1,3,0.6666666666666666,0.4,0.46982599229139765
003423,train,2.319007694721222,0.6871106028556824,0.6817654371261597,0.9501316547393799,2.417958915233612,0.7081283926963806,0.7381957769393921,0.9716347455978394,0.09895122051239014,0.021017789840698242,0.05643033981323242,0.021503090858459473,5,14,0.29189133644104004,8,0.49523407220840454,7,0.5582414865493774,5,0.7135043144226074,4,0.7675642371177673,2,0.9105204343795776,0.40292873978614807,0.20664136111736298,0.13925877213478088,300,0.015528851188719273,22,0.20242738723754883,8,0.5272914171218872,7,0.595296323299408,6,0.6759259104728699,5,0.7397911548614502,2,0.877530574798584,0.42856621742248535,0.22158384323120117,0.15053023397922516,300,0.016787532716989517,5,0,0,1.0,1.0,0.8517019233203923,5,1,0,0.8333333333333334,1.0,0.8270078133051285
003425,train,3.3582957983016968,0.8131576776504517,1.6669120788574219,0.8782260417938232,3.3786211609840393,0.9066439270973206,1.5707604885101318,0.9012167453765869,0.02032536268234253,0.0934862494468689,-0.09615159034729004,0.022990703582763672,2,10,0.16823366284370422,7,0.23113949596881866,4,0.3501863479614258,2,0.5619230270385742,2,0.5619230270385742,0,nan,0.16823366284370422,0.08684372901916504,0.05908013880252838,300,0.007479759398847818,10,0.17017428576946259,5,0.31485334038734436,3,0.46972736716270447,2,0.6316136121749878,2,0.6316136121749878,0,nan,0.17017428576946259,0.08838753402233124,0.060499366372823715,300,0.007599763106554747,2,0,0,1.0,1.0,0.796,2,0,0,1.0,1.0,0.7462500000000001
003426,train,3.302159070968628,1.1332874298095703,1.0677530765533447,1.101118564605713,3.263600707054138,1.0351924896240234,1.1508058309555054,1.0776023864746094,-0.038558363914489746,-0.09809494018554688,0.08305275440216064,-0.023516178131103516,5,32,0.13873691856861115,10,0.40096259117126465,5,0.7271172404289246,4,0.8484904766082764,4,0.8484904766082764,4,0.8484904766082764,0.40096259117126465,0.21364060044288635,0.14726470410823822,300,0.017070194706320763,37,0.12687644362449646,14,0.3016907870769501,8,0.4802146553993225,4,0.8168373107910156,4,0.8168373107910156,3,0.8838967084884644,0.40086469054222107,0.22135984897613525,0.15382525324821472,300,0.01781894639134407,4,0,1,1.0,0.8,0.4421140876036758,4,0,1,1.0,0.8,0.4207815177490314
003427,train,2.948567271232605,0.7837071418762207,1.11822509765625,1.0466350317001343,3.0103379487991333,0.8288108110427856,1.1407972574234009,1.0407298803329468,0.06177067756652832,0.04510366916656494,0.02257215976715088,-0.0059051513671875,2,2,0.8291647434234619,2,0.8291647434234619,2,0.8291647434234619,2,0.8291647434234619,2,0.8291647434234619,1,0.9289153218269348,0.16948148608207703,0.08627315610647202,0.05842156335711479,271,0.007788500748574734,6,0.2811141312122345,3,0.5435155630111694,2,0.7894309759140015,2,0.7894309759140015,2,0.7894309759140015,1,0.9473302960395813,0.1719450056552887,0.08886057138442993,0.06052911654114723,260,0.008330742828547955,2,0,0,1.0,1.0,0.796,2,0,0,1.0,1.0,0.8213719511963428
003428,train,2.2112356424331665,0.5574139356613159,0.714767575263977,0.9390541315078735,2.652055859565735,0.7122588157653809,0.9512365460395813,0.9885604977607727,0.44082021713256836,0.15484488010406494,0.23646897077560425,0.04950636625289917,3,7,0.5151202082633972,5,0.7144265174865723,5,0.7144265174865723,5,0.7144265174865723,4,0.781693696975708,3,0.8716391324996948,0.3631770610809326,0.18417735397815704,0.12400603294372559,300,0.01395051646977663,15,0.2686958312988281,6,0.6377660036087036,5,0.7526245713233948,5,0.7526245713233948,5,0.7526245713233948,3,0.8696002960205078,0.3959820866584778,0.20344431698322296,0.13737668097019196,300,0.01536420825868845,3,2,0,0.6,1.0,0.9204698275853881,3,2,0,0.6,1.0,0.8582927631591447
