epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
29,23380.3,base,1.20185,0.645196,0.967571,0.63284,0.49248,0.54427,0.31758,1.20047,0.64036,0.96752,0.0004456,0.0004456,0.0004456
30,24161.5,super,1.18933,0.622097,0.967921,0.62349,0.50881,0.55296,0.32274,1.18669,0.62096,0.96661,0.0004258,0.0004258,0.0004258
30,24186.1,base,1.20237,0.644208,0.967525,0.62578,0.4977,0.54516,0.31806,1.19912,0.63959,0.96523,0.0004258,0.0004258,0.0004258
31,24965.8,super,1.18505,0.618557,0.966183,0.6401,0.49994,0.55411,0.32377,1.18647,0.62048,0.9674,0.000406,0.000406,0.000406
31,24990.4,base,1.1978,0.640361,0.965596,0.62858,0.49632,0.54616,0.31858,1.19945,0.63849,0.96662,0.000406,0.000406,0.000406
32,25770.3,super,1.18627,0.617381,0.965758,0.63713,0.50028,0.55387,0.32385,1.1852,0.61965,0.96572,0.0003862,0.0003862,0.0003862
32,25794.9,base,1.19917,0.639505,0.965383,0.6305,0.49491,0.54565,0.31784,1.19651,0.63694,0.96426,0.0003862,0.0003862,0.0003862
33,26575.5,super,1.1836,0.61621,0.963432,0.64106,0.49898,0.55386,0.32266,1.18495,0.61947,0.96525,0.0003664,0.0003664,0.0003664
33,26600.1,base,1.19669,0.637841,0.963486,0.63655,0.48898,0.54574,0.31836,1.19662,0.63693,0.96413,0.0003664,0.0003664,0.0003664
34,27380.3,super,1.18281,0.615854,0.966438,0.63986,0.49992,0.5537,0.32307,1.18628,0.6197,0.96703,0.0003466,0.0003466,0.0003466
34,27404.8,base,1.19629,0.638236,0.965436,0.63306,0.49175,0.54586,0.31779,1.1978,0.63696,0.96531,0.0003466,0.0003466,0.0003466
35,28184.8,super,1.1828,0.613478,0.964881,0.63902,0.50238,0.55527,0.32388,1.18765,0.61945,0.96761,0.0003268,0.0003268,0.0003268
35,28209.4,base,1.19611,0.635548,0.964492,0.63124,0.49527,0.54693,0.31835,1.19933,0.63702,0.96628,0.0003268,0.0003268,0.0003268
36,28989.3,super,1.18121,0.611661,0.96488,0.63503,0.50398,0.55452,0.32443,1.18514,0.61869,0.96716,0.000307,0.000307,0.000307
36,29013.8,base,1.19456,0.634215,0.964912,0.62924,0.49674,0.54666,0.3188,1.19625,0.63566,0.96562,0.000307,0.000307,0.000307
37,29794.8,super,1.1829,0.613006,0.966387,0.64558,0.51949,0.55666,0.32523,1.18373,0.61784,0.96695,0.0002872,0.0002872,0.0002872
