stem,n_anchors_P3_super,mean_conf_all_P3_super,max_conf_P3_super,n_pred_ge10_P3_super,n_pred_ge25_P3_super,mean_conf_ge10_P3_super,mean_conf_ge25_P3_super,top10_mean_conf_P3_super,top20_mean_conf_P3_super,top30_mean_conf_P3_super,n_anchors_P4_super,mean_conf_all_P4_super,max_conf_P4_super,n_pred_ge10_P4_super,n_pred_ge25_P4_super,mean_conf_ge10_P4_super,mean_conf_ge25_P4_super,top10_mean_conf_P4_super,top20_mean_conf_P4_super,top30_mean_conf_P4_super,n_anchors_P5_super,mean_conf_all_P5_super,max_conf_P5_super,n_pred_ge10_P5_super,n_pred_ge25_P5_super,mean_conf_ge10_P5_super,mean_conf_ge25_P5_super,top10_mean_conf_P5_super,top20_mean_conf_P5_super,top30_mean_conf_P5_super,n_anchors_P3_base,mean_conf_all_P3_base,max_conf_P3_base,n_pred_ge10_P3_base,n_pred_ge25_P3_base,mean_conf_ge10_P3_base,mean_conf_ge25_P3_base,top10_mean_conf_P3_base,top20_mean_conf_P3_base,top30_mean_conf_P3_base,n_anchors_P4_base,mean_conf_all_P4_base,max_conf_P4_base,n_pred_ge10_P4_base,n_pred_ge25_P4_base,mean_conf_ge10_P4_base,mean_conf_ge25_P4_base,top10_mean_conf_P4_base,top20_mean_conf_P4_base,top30_mean_conf_P4_base,n_anchors_P5_base,mean_conf_all_P5_base,max_conf_P5_base,n_pred_ge10_P5_base,n_pred_ge25_P5_base,mean_conf_ge10_P5_base,mean_conf_ge25_P5_base,top10_mean_conf_P5_base,top20_mean_conf_P5_base,top30_mean_conf_P5_base,n_gt_small,n_gt_medium,n_gt_large,n_gt_total,gt_med_area
b42e6271-4bce300c,25600,0.00037722743581980467,0.3220316767692566,17,4,0.19489796459674835,0.3181881308555603,0.25334909558296204,0.1793532818555832,0.13937003910541534,6400,0.002220617840066552,0.8424827456474304,24,19,0.5131624937057495,0.6005553007125854,0.8137726187705994,0.5827311873435974,0.41863539814949036,1600,0.0015451344661414623,0.0886012613773346,0,0,nan,nan,0.056843068450689316,0.0445045605301857,0.0363258421421051,25600,0.00034542393404990435,0.5437688827514648,13,7,0.2807227671146393,0.37370651960372925,0.32167625427246094,0.20407934486865997,0.14952287077903748,6400,0.0021471998188644648,0.834639847278595,22,20,0.581722617149353,0.6253491044044495,0.798993706703186,0.6253491640090942,0.43350422382354736,1600,0.0027963423635810614,0.2307930886745453,9,0,0.14926497638225555,nan,0.14370422065258026,0.11106260865926743,0.09276757389307022,3,2,0,5,582.3992919921875
b42fdaf1-0925c561,25600,0.000513597100507468,0.42960697412490845,39,22,0.2650620937347412,0.3351854085922241,0.3805902302265167,0.34254685044288635,0.3044278919696808,6400,0.0019247225718572736,0.9462514519691467,18,15,0.6407790780067444,0.7328701615333557,0.9205819368362427,0.582520604133606,0.3980500400066376,1600,0.003053218126296997,0.2797965705394745,13,2,0.16059434413909912,0.2728649973869324,0.1759280413389206,0.13377246260643005,0.10818316787481308,25600,0.00030656266608275473,0.2884412705898285,27,3,0.18701998889446259,0.2683965563774109,0.23800019919872284,0.20961569249629974,0.17785251140594482,6400,0.00025912508135661483,0.29648324847221375,5,1,0.2132868766784668,0.29648324847221375,0.12662988901138306,0.06914760917425156,0.04837110638618469,1600,0.007437574211508036,0.9060996174812317,13,10,0.6994256973266602,0.8768803477287292,0.8768803477287292,0.48468586802482605,0.3411025404930115,6,1,1,8,596.3775634765625
b4301c7b-735da0d0,25600,0.0015696351183578372,0.6471129655838013,83,54,0.3567729890346527,0.45424097776412964,0.6043829917907715,0.580001950263977,0.542802631855011,6400,0.004743455909192562,0.893895149230957,48,36,0.5425381064414978,0.6758767366409302,0.8529115915298462,0.7947165369987488,0.732062578201294,1600,0.013187464326620102,0.845902144908905,38,24,0.43431195616722107,0.5998928546905518,0.7892317175865173,0.6610001921653748,0.5158780813217163,25600,0.001553978305310011,0.641456127166748,81,51,0.35125237703323364,0.4698852598667145,0.6165347099304199,0.5762154459953308,0.5452514290809631,6400,0.005147515796124935,0.8618200421333313,65,51,0.4611421525478363,0.5366314649581909,0.8188359141349792,0.7413098812103271,0.6766752600669861,1600,0.01159132830798626,0.8342047929763794,33,20,0.44401267170906067,0.6254737973213196,0.7710127234458923,0.6254738569259644,0.4768344759941101,11,7,3,21,857.3307495117188
b4301c7b-da5261f0,25600,0.0009987478842958808,0.8157861828804016,44,29,0.4724597632884979,0.633590817451477,0.7949061393737793,0.7337043881416321,0.6197382807731628,6400,0.004134909249842167,0.8907470703125,57,33,0.39652568101882935,0.5805597901344299,0.8653859496116638,0.7018877267837524,0.6103188991546631,1600,0.010249100625514984,0.4810095429420471,33,30,0.3701478838920593,0.39669176936149597,0.44790488481521606,0.42275652289390564,0.39669176936149597,25600,0.0008580891881138086,0.8290070295333862,43,32,0.41246843338012695,0.48997703194618225,0.7482237219810486,0.610038697719574,0.5058597922325134,6400,0.004363468382507563,0.8462455868721008,70,37,0.3461736738681793,0.4950752258300781,0.7710892558097839,0.6289517283439636,0.5466201901435852,1600,0.009813088923692703,0.7097100615501404,34,25,0.36894625425338745,0.44074487686157227,0.6183704733848572,0.48453742265701294,0.4008050560951233,5,3,6,14,2016.5277099609375
b4304e43-89ba0daa,25600,0.001210291520692408,0.8114485144615173,55,36,0.4245896339416504,0.5658817291259766,0.7911772727966309,0.7145468592643738,0.6259816288948059,6400,0.005460419692099094,0.7811461091041565,55,50,0.5944169759750366,0.6371357440948486,0.7542454600334167,0.7292520403862,0.70805424451828,1600,0.014835486188530922,0.8912351131439209,30,30,0.7300773859024048,0.7300773859024048,0.8777509927749634,0.7762467861175537,0.7300773859024048,25600,0.0011963221477344632,0.7704499363899231,65,32,0.34807708859443665,0.5272868275642395,0.7246355414390564,0.6462780237197876,0.5449544787406921,6400,0.004363553132861853,0.8387044072151184,53,42,0.492104709148407,0.5774640440940857,0.78355473279953,0.7136483192443848,0.651964545249939,1600,0.013048709370195866,0.7964644432067871,31,30,0.6430956721305847,0.6611120104789734,0.7551173567771912,0.7079264521598816,0.6611120104789734,11,5,6,22,897.8244018554688
b4333743-072dae1e,25600,0.0013091788860037923,0.7530809640884399,56,46,0.5010513663291931,0.5793892741203308,0.7309807538986206,0.7036858797073364,0.66643887758255,6400,0.005843449849635363,0.9366012215614319,40,40,0.8657092452049255,0.8657092452049255,0.9190772175788879,0.9013162851333618,0.8891991376876831,1600,0.001896735979244113,0.120393767952919,2,0,0.11135265231132507,nan,0.07589209079742432,0.059614162892103195,0.050642699003219604,25600,0.0011438396759331226,0.785014808177948,45,40,0.5300519466400146,0.5793353319168091,0.7342345118522644,0.6970392465591431,0.6441308856010437,6400,0.0040634735487401485,0.9233757257461548,32,29,0.7408204078674316,0.8024221062660217,0.9001661539077759,0.8891236186027527,0.7815141677856445,1600,0.006165993865579367,0.919968843460083,10,9,0.816693902015686,0.8881886601448059,0.816693902015686,0.43929043412208557,0.30317333340644836,7,5,3,15,1198.04443359375
b433534e-ff3646aa,25600,0.0016078352928161621,0.7704657912254333,95,59,0.36370721459388733,0.47922781109809875,0.7464061975479126,0.6883884072303772,0.6328650712966919,6400,0.0037636186461895704,0.897804856300354,40,25,0.5296463370323181,0.7573530673980713,0.8880696296691895,0.8662622570991516,0.6620720624923706,1600,0.012869004160165787,0.8570230007171631,27,20,0.6368821263313293,0.8031877875328064,0.8267576098442078,0.8031876683235168,0.5807444453239441,25600,0.0014961978886276484,0.7519129514694214,95,52,0.3364078104496002,0.4620146155357361,0.7187473177909851,0.6248708963394165,0.5604060292243958,6400,0.003567709354683757,0.8304954767227173,46,30,0.4593523442745209,0.5996802449226379,0.8034353256225586,0.7390472888946533,0.5996802449226379,1600,0.005367215257138014,0.39201968908309937,29,8,0.20195387303829193,0.30415600538253784,0.2915472090244293,0.23592829704284668,0.19832578301429749,12,8,4,24,865.6939697265625
b4340944-5f7048d1,25600,0.001009253435768187,0.8595752120018005,51,38,0.4305509030818939,0.52017742395401,0.8130197525024414,0.6710787415504456,0.5710552930831909,6400,0.0020944091957062483,0.9320323467254639,27,12,0.4540007710456848,0.8303488492965698,0.9257473349571228,0.5708222985267639,0.4161739647388458,1600,0.00018820376135408878,0.11453323066234589,1,0,0.11453323066234589,nan,0.021641576662659645,0.01131313107907772,0.007767905481159687,25600,0.0008001653477549553,0.8646467328071594,49,28,0.3499965965747833,0.48418647050857544,0.7301042079925537,0.5597952008247375,0.46830102801322937,6400,0.001994760474190116,0.9303622245788574,25,12,0.46718236804008484,0.8125767111778259,0.9193100333213806,0.5555821061134338,0.40209466218948364,1600,0.0002150241198251024,0.09585864096879959,0,0,nan,nan,0.021349765360355377,0.012448159046471119,0.008958963677287102,3,4,1,8,1527.900390625
b439c4fe-5064fe59,25600,0.001063662231899798,0.8424806594848633,59,31,0.37379804253578186,0.5730903148651123,0.8136118054389954,0.7024299502372742,0.5832217931747437,6400,0.007042315322905779,0.857386589050293,83,60,0.524891197681427,0.6555042266845703,0.8492288589477539,0.8331685066223145,0.797838032245636,1600,0.010328021831810474,0.8566211462020874,28,21,0.5186892747879028,0.6223986744880676,0.8345910906791687,0.6407309174537659,0.4892672300338745,25600,0.0010341284796595573,0.8165478110313416,55,30,0.38592788577079773,0.5764652490615845,0.776547372341156,0.705435037612915,0.5764652490615845,6400,0.006522810086607933,0.812781035900116,77,63,0.5121256709098816,0.5904669761657715,0.7863060235977173,0.7648088335990906,0.7428486347198486,1600,0.0061127012595534325,0.7454003691673279,16,10,0.49499690532684326,0.7203947305679321,0.7203947305679321,0.41189366579055786,0.29350727796554565,10,6,3,19,940.3547973632812
b439d51b-5d88ba11,25600,0.0012170287081971765,0.8797845244407654,44,36,0.4861724376678467,0.5659691095352173,0.8456444144248962,0.7279988527297974,0.6174818873405457,6400,0.004374108277261257,0.9162712693214417,37,31,0.6730849742889404,0.7811398506164551,0.8968807458877563,0.8714367151260376,0.7969359755516052,1600,0.013494893908500671,0.9323645830154419,39,31,0.4960783123970032,0.568552553653717,0.9214100241661072,0.6868883967399597,0.578994631767273,25600,0.0011097121750935912,0.8174585103988647,38,30,0.45423880219459534,0.5291906595230103,0.6876897215843201,0.6165661811828613,0.529190719127655,6400,0.003919641952961683,0.9089308381080627,30,28,0.7309621572494507,0.7722694873809814,0.8830809593200684,0.8328205943107605,0.7309622168540955,1600,0.0153623316437006,0.9016028046607971,48,36,0.4564697742462158,0.5492835640907288,0.8830782771110535,0.7036427855491638,0.5979892611503601,17,6,4,27,308.06036376953125
b43bcc83-c97d569e,25600,0.002699057338759303,0.782311737537384,170,106,0.3456679582595825,0.4620361626148224,0.7240353226661682,0.679172933101654,0.650442898273468,6400,0.007804505527019501,0.9116849303245544,97,74,0.48425787687301636,0.5836613774299622,0.8924673199653625,0.8770923018455505,0.859652042388916,1600,0.001372532220557332,0.4917195737361908,7,2,0.22917605936527252,0.3942797780036926,0.18381138145923615,0.09733747690916061,0.06636571884155273,25600,0.0025036081206053495,0.7090944647789001,163,96,0.3276625871658325,0.44096946716308594,0.6515601277351379,0.6328194737434387,0.6100159287452698,6400,0.007244923152029514,0.9121617674827576,88,62,0.49068641662597656,0.6265310049057007,0.8993916511535645,0.8793991208076477,0.8358132243156433,1600,0.0010115265613421798,0.27811163663864136,7,1,0.17592908442020416,0.27811163663864136,0.13477559387683868,0.07495349645614624,0.050828877836465836,32,8,2,42,636.8284301757812
b43de6e1-f20e4351,25600,0.00048114461242221296,0.1729937046766281,23,0,0.12193841487169266,nan,0.13749341666698456,0.12487106770277023,0.11534975469112396,6400,0.001826726016588509,0.7927036285400391,19,10,0.4696272909641266,0.7645592093467712,0.7645591497421265,0.45085373520851135,0.3211829960346222,1600,0.0035028462298214436,0.3582765460014343,11,8,0.28460031747817993,0.32444876432418823,0.3027024269104004,0.18751993775367737,0.14130806922912598,25600,0.000515878084115684,0.14888259768486023,17,0,0.11983321607112885,nan,0.12959907948970795,0.1161615401506424,0.10694555193185806,6400,0.0017127969767898321,0.7657989859580994,15,10,0.5307549834251404,0.7308253645896912,0.7308253645896912,0.41941389441490173,0.2983022630214691,1600,0.0031778477132320404,0.4011039733886719,13,8,0.2555560767650604,0.3203681707382202,0.2994045913219452,0.18688181042671204,0.13673722743988037,8,5,1,14,871.3672485351562
b43eb946-92f9152d,25600,0.0021409355103969574,0.8392353653907776,104,81,0.4532184898853302,0.5343983173370361,0.8254605531692505,0.7985019087791443,0.7710659503936768,6400,0.004020625725388527,0.9275918006896973,47,25,0.4902194142341614,0.7528223991394043,0.9158193469047546,0.8490951657295227,0.6656643152236938,1600,0.01663648709654808,0.9544056057929993,35,30,0.725925087928772,0.826817512512207,0.9498921632766724,0.9117021560668945,0.826817512512207,25600,0.0018881290452554822,0.8504019379615784,97,64,0.41629138588905334,0.544721245765686,0.8076421022415161,0.784862220287323,0.7457631826400757,6400,0.004349559545516968,0.8771371245384216,53,37,0.46527501940727234,0.596518337726593,0.8515165448188782,0.7938379049301147,0.6690020561218262,1600,0.014566933736205101,0.9307510852813721,37,29,0.5945610404014587,0.7178584337234497,0.9044274687767029,0.8188410997390747,0.7005334496498108,6,6,5,17,2788.20849609375
b43eb946-b8bc931c,25600,0.00025453444686718285,0.18236778676509857,24,0,0.13767488300800323,nan,0.16007749736309052,0.14364995062351227,0.1278919130563736,6400,0.0035930639132857323,0.814969003200531,32,31,0.6964238286018372,0.7141820788383484,0.7733466029167175,0.749843418598175,0.7290943264961243,1600,0.010290288366377354,0.8613278269767761,20,20,0.73734450340271,0.73734450340271,0.8434416651725769,0.73734450340271,0.5034794807434082,25600,0.00021829927572980523,0.17232142388820648,17,0,0.1305174082517624,nan,0.1451607197523117,0.12523111701011658,0.10931190848350525,6400,0.003761561121791601,0.858761727809906,30,30,0.7597436904907227,0.7597436904907227,0.8358216285705566,0.8186745643615723,0.7597436904907227,1600,0.008884823881089687,0.852911651134491,21,20,0.6321807503700256,0.6554544568061829,0.80520099401474,0.6554543972015381,0.45305851101875305,4,2,4,10,3022.54638671875
b43eb946-c0cad251,25600,0.0005222707404755056,0.652661144733429,28,18,0.3231910765171051,0.4251496493816376,0.5054816603660583,0.40264588594436646,0.3077186644077301,6400,0.00882585160434246,0.9135210514068604,76,67,0.7200828194618225,0.793057382106781,0.9046276211738586,0.8962976336479187,0.8878625631332397,1600,0.011391794309020042,0.9261873960494995,30,30,0.5677245259284973,0.5677245259284973,0.917353630065918,0.6743147373199463,0.5677245259284973,25600,0.0006032020319253206,0.7844163179397583,31,20,0.35913172364234924,0.4617917239665985,0.5692402124404907,0.4617917239665985,0.36759886145591736,6400,0.007153899408876896,0.9122849702835083,64,57,0.6788692474365234,0.7426422834396362,0.8985833525657654,0.8776962161064148,0.8644967675209045,1600,0.010821194387972355,0.9138900637626648,31,22,0.49098628759384155,0.6343035697937012,0.8822748064994812,0.6708922386169434,0.5035287141799927,13,4,5,22,535.0110473632812
b440d54c-2aff7bf8,25600,0.000958376273047179,0.6807492971420288,56,34,0.3435228168964386,0.4505498707294464,0.6012142300605774,0.5398792624473572,0.4751255214214325,6400,0.006671746261417866,0.9128194451332092,67,60,0.5938478112220764,0.648297131061554,0.8969173431396484,0.8909255862236023,0.8327112197875977,1600,0.014047560282051563,0.7433633208274841,41,33,0.5276426076889038,0.6039992570877075,0.6958767771720886,0.6707545518875122,0.6368916034698486,25600,0.0008401527302339673,0.6925199627876282,51,21,0.2836901545524597,0.4494593143463135,0.5882707834243774,0.4593348205089569,0.3766332268714905,6400,0.0064351120963692665,0.9024515151977539,66,57,0.5909812450408936,0.6562454700469971,0.8943891525268555,0.8700309991836548,0.8096626996994019,1600,0.01357872225344181,0.7866957783699036,41,31,0.49734315276145935,0.6109585165977478,0.766189694404602,0.7075374722480774,0.6192631721496582,5,6,9,20,3998.1083984375
b440d54c-5f5ff777,25600,0.0001387400843668729,0.21305865049362183,6,0,0.18598708510398865,nan,0.1238083615899086,0.07389449328184128,0.05581795796751976,6400,0.0017966049490496516,0.7828489542007446,29,10,0.3627278506755829,0.7452530264854431,0.7452530264854431,0.46662768721580505,0.3536432683467865,1600,0.01682288572192192,0.9017429351806641,43,36,0.6136953830718994,0.6972303986549377,0.8933098912239075,0.8387933969497681,0.7775908708572388,25600,0.0002771028084680438,0.3598027527332306,17,4,0.19915875792503357,0.31412458419799805,0.2575906813144684,0.18299426138401031,0.14461594820022583,6400,0.0013888312969356775,0.6905184984207153,19,10,0.3863135278224945,0.6239976286888123,0.6239976286888123,0.3717425763607025,0.2725837528705597,1600,0.012489831075072289,0.8812623023986816,38,23,0.5074254870414734,0.732610821723938,0.8422935605049133,0.8008579611778259,0.6068798899650574,11,1,4,16,783.3479614257812
