epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
25,49044.9,base,1.33035,0.739315,1.10276,0.69398,0.57629,0.62341,0.36964,1.33097,0.7356,1.09238,0.000208,0.000208,0.000208
26,50888.6,super,1.31503,0.713287,1.10425,0.69242,0.57183,0.62967,0.37613,1.32296,0.71763,1.09714,0.000175,0.000175,0.000175
26,50996.8,base,1.32826,0.738828,1.10118,0.70753,0.56261,0.62805,0.37391,1.33052,0.73576,1.09089,0.000175,0.000175,0.000175
27,52839.9,super,1.31423,0.711357,1.10317,0.65586,0.58672,0.62763,0.37485,1.32396,0.71659,1.09926,0.000142,0.000142,0.000142
27,52948.2,base,1.32677,0.736611,1.09995,0.69642,0.56362,0.62866,0.37465,1.3309,0.73474,1.09243,0.000142,0.000142,0.000142
28,54789.3,super,1.31609,0.710874,1.10511,0.67091,0.58269,0.62934,0.37533,1.3239,0.71627,1.09843,0.000109,0.000109,0.000109
28,54897.8,base,1.32915,0.737088,1.1025,0.69856,0.56395,0.62864,0.37429,1.33089,0.73422,1.09239,0.000109,0.000109,0.000109
29,56813.2,super,1.31408,0.709141,1.10252,0.65359,0.58686,0.62787,0.37493,1.32299,0.71609,1.09777,7.6e-05,7.6e-05,7.6e-05
29,56921.5,base,1.32679,0.734916,1.09938,0.69688,0.56471,0.62803,0.37432,1.33004,0.73397,1.09138,7.6e-05,7.6e-05,7.6e-05
30,58764.5,super,1.31361,0.709288,1.10316,0.65129,0.58437,0.62794,0.37485,1.32344,0.71569,1.09864,4.3e-05,4.3e-05,4.3e-05
30,58872.5,base,1.32701,0.735104,1.10049,0.69605,0.56507,0.62548,0.37098,1.33034,0.73324,1.09193,4.3e-05,4.3e-05,4.3e-05
